Scholarship Name,Provider/Sponsor,Level,Field of Study,Country/Region,Funding Type,Need Based?,Min Grade/GPA,Deadline,Amount,Description,Source
Ashinaga Africa Initiative (AAI),Ashinaga,undergraduate,"any (engineering accepted but requires strong grades; medicine, dentistry, veterinary, and pharmacy not supported)","Citizens of most Sub-Saharan African countries (46 of 49), including Ghana, Nigeria, Kenya, Cameroon, Senegal, and others",fully_funded,yes,,N/A,NULL,"Provides orphaned Sub-Saharan African secondary school leavers full funding to complete an undergraduate degree abroad (Japan, US, UK, France, and others), including tuition, accommodation, and travel, plus leadership training. Anglophone-country applicants are now identified through partner high schools rather than open application.",https://www.ashinaga.org/en/our-work/ashinaga-africa-initiative/apply-to-the-aai/
Team DC Student Athlete Scholarship,Team DC,high_school,athletics,,,,"Student-athletes who identify as lesbian, gay, bisexual, or transgender and reside in or attended high school in the Washington DC metro area.","February 13, 2026","$2,500",Supports LGBTQ+ student-athletes in the DC metro region pursuing higher education.,https://www.fastweb.com/college-scholarships/articles/scholarships-for-the-sports-fans
Jim Ovia Scholarship,Jim Ovia Foundation,undergraduate,any,TBC,fully_funded,no,Strong academic merit; specific GPA/grade thresholds set annually by the foundation,,,"Covers tuition and a maintenance allowance for Nigerian undergraduate students studying within Nigeria, aimed at supporting the country's next generation of leaders.",https://www.topuniversities.com/student-info/scholarship-advice/international-scholarships-african-students
Washington State Opportunity Scholarship (Baccalaureate),Washington State Opportunity Scholarship,undergraduate,computer_science,,,,"Washington residents pursuing high-demand STEM majors, including computer science and software development, at approved Washington colleges.",Varies by cycle,Varies,"A statewide program designed to help Washington students afford degrees in fields the state has identified as high-demand, including tech and programming.",https://studentscholarships.org/articles/12507/8-washington-computer-programming-scholarships-worth-applying-for-in-2026
John Carlton Myatt Writing Scholarship,Guilford County Community Foundation,high_school,writing,,,,"Graduating high school seniors from Guilford County, North Carolina who display creative writing talent.",N/A,TBC,A regional award supporting graduating seniors from a specific North Carolina county who show promise in creative writing.,https://scholarships360.org/scholarships/creative-writing-scholarships/
Doodle for Google Scholarship,,high_school,art_design,,,,Open to students with artistic ability; requires creating an original 'Doodle' design reflecting personal goals and creativity.,rolling,N/A,A design competition that turns student artwork into Google's homepage logo while awarding scholarship funding to winners.,NULL
Mandela Rhodes Scholarship,,postgraduate,any,African citizens,,no,Strong academic record combined with demonstrated leadership ability; selection emphasizes leadership potential as much as grades,Varies by cycle (commonly around mid/June),,"Supports African students with strong leadership qualities to complete an honours or Master's degree at a recognized South African university, alongside a leadership development program.",https://www.topuniversities.com/student-info/scholarship-advice/international-scholarships-african-students
Mastercard Foundation Scholars Program (Graduate/Master's track),"Mastercard Foundation (via partner universities incl. Cambridge, Sciences Po, CMU-Africa)",postgraduate,"any (includes engineering, information technology, and ai at partners like cmu-africa)",African citizens; second citizenship from outside Africa is not eligible,,yes,Completed or nearly-completed Bachelor's degree with strong academic results; demonstrated financial need and commitment to impact in Africa,TBD,,"Funds Master's-level study for African graduates, covering tuition, fees, and living costs, with mentoring and leadership development built into the program.",https://www.sciencespo.fr/students/en/fees-funding/bursaries-financial-aid/mastercard-foundation-scholarships/graduate-study/
McKelvey Foundation Entrepreneur Scholarship,McKelvey Foundation,undergraduate,business,,,,Students who have already started their own businesses.,VARIES BY CYCLE,,"Supports student entrepreneurs who have already taken the leap into starting a business, alongside access to a network of experienced founders.",https://www.collegescholarships.org/scholarships/business/entrepreneur.htm
CSUN Art & Design Department Scholarships,"California State University, Northridge",undergraduate,art_design,,,,"Continuing full-time undergraduate or graduate students enrolled in the Department of Art and Design; several awards require a minimum 3.0 GPA and/or demonstrated financial need, with some preferences for specific concentrations like ceramics, photography, or animation.",rolling,,A set of departmental scholarships supporting art and design students across multiple studio concentrations.,https://www.csun.edu/mike-curb-arts-media-communication/art-design/student-resources/scholarships
THEA Scholarship,THEA Foundation,high_school,art_design,,,,"Awarded solely on artistic talent regardless of GPA, test scores, or intended college major; portable to any college the recipient attends.",Varies by cycle,Varies,"A talent-based award for students with artistic ability across visual art, dance, music, and other creative disciplines.",https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/art-scholarships
DAAD Doctoral Programmes in Germany,German Academic Exchange Service (DAAD),phd,"any research field, including engineering, at state-recognized german universities and research institutes","Open worldwide, including applicants from Kenya, Nigeria, Ghana, South Africa, and other African countries",,no,"Must have completed a Master's (or equivalent) degree before the funding period begins, with strong research potential",VARIES BY SPECIFIC DOCTORAL PROGRAM,,"Funds full doctoral study in Germany at no tuition cost, targeting academically strong candidates with high research potential across all disciplines.",https://opportunitiesforyouth.org/2026/04/14/daad-in-country-in-region-scholarships-2025-for-sub-saharan-africa-fully-funded-masters-phd/
Driven at Heart Scholarship,Wisconsin Athletic Hall of Fame,high_school,athletics,,,,"Wisconsin high school seniors who participated in a WIAA-sanctioned sport, with a minimum 3.5 GPA.","February 28, 2026","$2,500 - $7,500",Awards top finalists a VIP experience at the Wisconsin Athletic Hall of Fame Induction Ceremony alongside cash scholarships.,NULL
Penguin Random House Creative Writing Awards (with We Need Diverse Books),Penguin Random House / We Need Diverse Books,high_school,writing,,,,"Current public high school seniors in the US graduating in spring, planning to enroll in an accredited college that fall. Requires one original literary submission (poetry, spoken word, fiction, personal essay/memoir, or themed prompt).",Varies by cycle,NULL,"A long-running program recognizing outstanding creative writing from public high school seniors, paired with mentorship from professional editors.",https://scholarshipamerica.org/scholarship/penguinrandomhouse/
Lockheed Martin STEM Scholarship,,high_school,computer_science,,,,N/A,ROLLING,Varies,A STEM-focused scholarship aimed at broadening participation in technology careers among historically underrepresented groups.,
Chinua Achebe Award for Freedom of Expression,Penguin Random House,high_school,writing,,,,Open to public high school students. Requires an original literary composition responding to a prompt about a banned book that impacted the applicant.,See website,"$10,000 (first place)","A newer award honoring literary freedom of expression, inviting students to reflect on the impact of banned books through original writing.",https://social-impact.penguinrandomhouse.com/our-awards/u-s-creative-writing-awards/
Cavaliers Scholarship Program,,high_school,athletics,,,,High school seniors residing in Northeast Ohio.,See website,TBC,A regional scholarship program from an NBA franchise supporting local graduating seniors.,https://www.fastweb.com/college-scholarships/articles/scholarships-for-the-sports-fans
