id,scholarship_name,chunk_type,text,tokens
ashinaga_africa_initiative_aai__summary,Ashinaga Africa Initiative (AAI),summary,"Scholarship: Ashinaga Africa Initiative (AAI)
Provides orphaned Sub-Saharan African secondary school leavers full funding to complete an undergraduate degree abroad (Japan, US, UK, France, and others), including tuition, accommodation, and travel, plus leadership training. Anglophone-country applicants are now identified through partner high schools rather than open application.
Provider: Ashinaga
Level: undergraduate
Field: any (engineering accepted but requires strong grades; medicine, dentistry, veterinary, and pharmacy not supported)
Funding: fully_funded",68
ashinaga_africa_initiative_aai__provider_sponsor,Ashinaga Africa Initiative (AAI),field:Provider/Sponsor,"Scholarship: Ashinaga Africa Initiative (AAI)
Provider: Ashinaga
Level: undergraduate
Field: any (engineering accepted but requires strong grades; medicine, dentistry, veterinary, and pharmacy not supported)
Funding: fully_funded

Provider/Sponsor: Ashinaga",28
ashinaga_africa_initiative_aai__level,Ashinaga Africa Initiative (AAI),field:Level,"Scholarship: Ashinaga Africa Initiative (AAI)
Provider: Ashinaga
Level: undergraduate
Field: any (engineering accepted but requires strong grades; medicine, dentistry, veterinary, and pharmacy not supported)
Funding: fully_funded

Level: undergraduate",28
ashinaga_africa_initiative_aai__field_of_study,Ashinaga Africa Initiative (AAI),field:Field of Study,"Scholarship: Ashinaga Africa Initiative (AAI)
Provider: Ashinaga
Level: undergraduate
Field: any (engineering accepted but requires strong grades; medicine, dentistry, veterinary, and pharmacy not supported)
Funding: fully_funded

Field of Study: any (engineering accepted but requires strong grades; medicine, dentistry, veterinary, and pharmacy not supported)",43
ashinaga_africa_initiative_aai__country_region,Ashinaga Africa Initiative (AAI),field:Country/Region,"Scholarship: Ashinaga Africa Initiative (AAI)
Provider: Ashinaga
Level: undergraduate
Field: any (engineering accepted but requires strong grades; medicine, dentistry, veterinary, and pharmacy not supported)
Funding: fully_funded

Country/Region: Citizens of most Sub-Saharan African countries (46 of 49), including Ghana, Nigeria, Kenya, Cameroon, Senegal, and others",44
ashinaga_africa_initiative_aai__funding_type,Ashinaga Africa Initiative (AAI),field:Funding Type,"Scholarship: Ashinaga Africa Initiative (AAI)
Provider: Ashinaga
Level: undergraduate
Field: any (engineering accepted but requires strong grades; medicine, dentistry, veterinary, and pharmacy not supported)
Funding: fully_funded

Funding Type: fully_funded",29
ashinaga_africa_initiative_aai__need_based,Ashinaga Africa Initiative (AAI),field:Need Based?,"Scholarship: Ashinaga Africa Initiative (AAI)
Provider: Ashinaga
Level: undergraduate
Field: any (engineering accepted but requires strong grades; medicine, dentistry, veterinary, and pharmacy not supported)
Funding: fully_funded

Need Based?: yes",29
ashinaga_africa_initiative_aai__deadline,Ashinaga Africa Initiative (AAI),field:Deadline,"Scholarship: Ashinaga Africa Initiative (AAI)
Provider: Ashinaga
Level: undergraduate
Field: any (engineering accepted but requires strong grades; medicine, dentistry, veterinary, and pharmacy not supported)
Funding: fully_funded

Deadline: N/A",28
ashinaga_africa_initiative_aai__amount,Ashinaga Africa Initiative (AAI),field:Amount,"Scholarship: Ashinaga Africa Initiative (AAI)
Provider: Ashinaga
Level: undergraduate
Field: any (engineering accepted but requires strong grades; medicine, dentistry, veterinary, and pharmacy not supported)
Funding: fully_funded

Amount: NULL",28
ashinaga_africa_initiative_aai__description,Ashinaga Africa Initiative (AAI),field:Description,"Scholarship: Ashinaga Africa Initiative (AAI)
Provider: Ashinaga
Level: undergraduate
Field: any (engineering accepted but requires strong grades; medicine, dentistry, veterinary, and pharmacy not supported)
Funding: fully_funded

Provides orphaned Sub-Saharan African secondary school leavers full funding to complete an undergraduate degree abroad (Japan, US, UK, France, and others), including tuition, accommodation, and travel, plus leadership training. Anglophone-country applicants are now identified through partner high schools rather than open application.",68
team_dc_student_athlete_scholarship__summary,Team DC Student Athlete Scholarship,summary,"Scholarship: Team DC Student Athlete Scholarship
Supports LGBTQ+ student-athletes in the DC metro region pursuing higher education.
Provider: Team DC
Level: high_school
Field: athletics",24
team_dc_student_athlete_scholarship__provider_sponsor,Team DC Student Athlete Scholarship,field:Provider/Sponsor,"Scholarship: Team DC Student Athlete Scholarship
Provider: Team DC
Level: high_school
Field: athletics

Provider/Sponsor: Team DC",16
team_dc_student_athlete_scholarship__level,Team DC Student Athlete Scholarship,field:Level,"Scholarship: Team DC Student Athlete Scholarship
Provider: Team DC
Level: high_school
Field: athletics

Level: high_school",15
team_dc_student_athlete_scholarship__field_of_study,Team DC Student Athlete Scholarship,field:Field of Study,"Scholarship: Team DC Student Athlete Scholarship
Provider: Team DC
Level: high_school
Field: athletics

Field of Study: athletics",17
team_dc_student_athlete_scholarship__min_grade_gpa,Team DC Student Athlete Scholarship,field:Min Grade/GPA,"Scholarship: Team DC Student Athlete Scholarship
Provider: Team DC
Level: high_school
Field: athletics

Min Grade/GPA: Student-athletes who identify as lesbian, gay, bisexual, or transgender and reside in or attended high school in the Washington DC metro area.",37
team_dc_student_athlete_scholarship__deadline,Team DC Student Athlete Scholarship,field:Deadline,"Scholarship: Team DC Student Athlete Scholarship
Provider: Team DC
Level: high_school
Field: athletics

Deadline: February 13, 2026",17
team_dc_student_athlete_scholarship__amount,Team DC Student Athlete Scholarship,field:Amount,"Scholarship: Team DC Student Athlete Scholarship
Provider: Team DC
Level: high_school
Field: athletics

Amount: $2,500",15
team_dc_student_athlete_scholarship__description,Team DC Student Athlete Scholarship,field:Description,"Scholarship: Team DC Student Athlete Scholarship
Provider: Team DC
Level: high_school
Field: athletics

Supports LGBTQ+ student-athletes in the DC metro region pursuing higher education.",24
jim_ovia_scholarship__summary,Jim Ovia Scholarship,summary,"Scholarship: Jim Ovia Scholarship
Covers tuition and a maintenance allowance for Nigerian undergraduate students studying within Nigeria, aimed at supporting the country's next generation of leaders.
Provider: Jim Ovia Foundation
Level: undergraduate
Field: any
Funding: fully_funded",36
jim_ovia_scholarship__provider_sponsor,Jim Ovia Scholarship,field:Provider/Sponsor,"Scholarship: Jim Ovia Scholarship
Provider: Jim Ovia Foundation
Level: undergraduate
Field: any
Funding: fully_funded

Provider/Sponsor: Jim Ovia Foundation",18
jim_ovia_scholarship__level,Jim Ovia Scholarship,field:Level,"Scholarship: Jim Ovia Scholarship
Provider: Jim Ovia Foundation
Level: undergraduate
Field: any
Funding: fully_funded

Level: undergraduate",16
jim_ovia_scholarship__field_of_study,Jim Ovia Scholarship,field:Field of Study,"Scholarship: Jim Ovia Scholarship
Provider: Jim Ovia Foundation
Level: undergraduate
Field: any
Funding: fully_funded

Field of Study: any",18
jim_ovia_scholarship__country_region,Jim Ovia Scholarship,field:Country/Region,"Scholarship: Jim Ovia Scholarship
Provider: Jim Ovia Foundation
Level: undergraduate
Field: any
Funding: fully_funded

Country/Region: TBC",16
jim_ovia_scholarship__funding_type,Jim Ovia Scholarship,field:Funding Type,"Scholarship: Jim Ovia Scholarship
Provider: Jim Ovia Foundation
Level: undergraduate
Field: any
Funding: fully_funded

Funding Type: fully_funded",17
jim_ovia_scholarship__need_based,Jim Ovia Scholarship,field:Need Based?,"Scholarship: Jim Ovia Scholarship
Provider: Jim Ovia Foundation
Level: undergraduate
Field: any
Funding: fully_funded

Need Based?: no",17
jim_ovia_scholarship__min_grade_gpa,Jim Ovia Scholarship,field:Min Grade/GPA,"Scholarship: Jim Ovia Scholarship
Provider: Jim Ovia Foundation
Level: undergraduate
Field: any
Funding: fully_funded

Min Grade/GPA: Strong academic merit; specific GPA/grade thresholds set annually by the foundation",27
jim_ovia_scholarship__description,Jim Ovia Scholarship,field:Description,"Scholarship: Jim Ovia Scholarship
Provider: Jim Ovia Foundation
Level: undergraduate
Field: any
Funding: fully_funded

Covers tuition and a maintenance allowance for Nigerian undergraduate students studying within Nigeria, aimed at supporting the country's next generation of leaders.",36
washington_state_opportunity_scholarship_baccalaureate__summary,Washington State Opportunity Scholarship (Baccalaureate),summary,"Scholarship: Washington State Opportunity Scholarship (Baccalaureate)
A statewide program designed to help Washington students afford degrees in fields the state has identified as high-demand, including tech and programming.
Provider: Washington State Opportunity Scholarship
Level: undergraduate
Field: computer_science",37
washington_state_opportunity_scholarship_baccalaureate__provider_sponsor,Washington State Opportunity Scholarship (Baccalaureate),field:Provider/Sponsor,"Scholarship: Washington State Opportunity Scholarship (Baccalaureate)
Provider: Washington State Opportunity Scholarship
Level: undergraduate
Field: computer_science

Provider/Sponsor: Washington State Opportunity Scholarship",20
washington_state_opportunity_scholarship_baccalaureate__level,Washington State Opportunity Scholarship (Baccalaureate),field:Level,"Scholarship: Washington State Opportunity Scholarship (Baccalaureate)
Provider: Washington State Opportunity Scholarship
Level: undergraduate
Field: computer_science

Level: undergraduate",17
washington_state_opportunity_scholarship_baccalaureate__field_of_study,Washington State Opportunity Scholarship (Baccalaureate),field:Field of Study,"Scholarship: Washington State Opportunity Scholarship (Baccalaureate)
Provider: Washington State Opportunity Scholarship
Level: undergraduate
Field: computer_science

Field of Study: computer_science",19
washington_state_opportunity_scholarship_baccalaureate__min_grade_gpa,Washington State Opportunity Scholarship (Baccalaureate),field:Min Grade/GPA,"Scholarship: Washington State Opportunity Scholarship (Baccalaureate)
Provider: Washington State Opportunity Scholarship
Level: undergraduate
Field: computer_science

Min Grade/GPA: Washington residents pursuing high-demand STEM majors, including computer science and software development, at approved Washington colleges.",33
washington_state_opportunity_scholarship_baccalaureate__deadline,Washington State Opportunity Scholarship (Baccalaureate),field:Deadline,"Scholarship: Washington State Opportunity Scholarship (Baccalaureate)
Provider: Washington State Opportunity Scholarship
Level: undergraduate
Field: computer_science

Deadline: Varies by cycle",19
